,size,day,for,while,if,elif,def,[,{,(,list,set,lambda,map,lines
0,1997,5,10,0,8,0,8,66,8,58,2,3,0,0,82
1,710,1,6,0,2,0,4,13,0,23,0,0,0,0,41
2,3471,4,12,1,7,0,5,23,0,46,2,21,0,0,117
3,2057,9,14,1,5,0,4,45,2,50,2,5,0,0,82
4,3301,8,19,0,11,6,11,41,7,57,1,5,0,0,105
5,1225,3,9,2,2,0,4,18,0,47,2,0,0,0,59
6,838,7,5,0,0,0,4,5,0,31,0,0,0,0,42
7,768,6,4,0,0,0,3,11,0,16,0,0,0,0,36
8,981,2,9,0,0,0,4,2,0,22,0,0,0,0,57
